date,state,party,first_votes,first_share,second_votes,second_share
2025-02-23,Brandenburg,Partei der Humanisten,,,,
2025-02-23,Brandenburg,Partei der Nichtwähler,,,,
2025-02-23,Brandenburg,Partei der Vernunft,,,,
2025-02-23,Brandenburg,Partei des Fortschritts,,,,
2025-02-23,Brandenburg,Partei für Verjüngungsforschung,,,,
2025-02-23,Brandenburg,PARTEI MENSCH UMWELT TIERSCHUTZ,,,,
2025-02-23,Brandenburg,Piratenpartei Deutschland,,,,
2025-02-23,Brandenburg,RENTNER Partei Deutschland,,,,
2025-02-23,Brandenburg,"SGV - Solidarität, Gerechtigkeit, Veränderung",,,,
2025-02-23,Brandenburg,"Sozialist.Gleichheitspartei, Vierte Internationale",,,,
2025-02-23,Brandenburg,Südschleswigscher Wählerverband,,,,
2025-02-23,Brandenburg,Thüringer Heimatpartei,,,,
2025-02-23,Brandenburg,UNABHÄNGIGE für bürgernahe Demokratie,,,,
2025-02-23,Brandenburg,Volt Deutschland,10687.0,0.7,11370.0,0.7
2025-02-23,Brandenburg,"V-Partei3 - Partei f. Veränd., Vegetarier, Veganer",,,,
2025-02-23,Brandenburg,WerteUnion,,,,
2025-02-23,Brandenburg,WiR2020,,,,
2025-02-23,Brandenburg,Sonstige Parteien,4718.0,0.3,,
2025-02-23,Bremen,Christlich Demokratische Union Deutschlands,78673.0,22.7,71573.0,20.6
2025-02-23,Bremen,Alternative für Deutschland,52638.0,15.2,52496.0,15.1
2025-02-23,Bremen,Sozialdemokratische Partei Deutschlands,95267.0,27.4,80604.0,23.1
2025-02-23,Bremen,BÜNDNIS 90/DIE GRÜNEN,53287.0,15.4,54280.0,15.6
2025-02-23,Bremen,Die Linke,44408.0,12.8,51461.0,14.8
2025-02-23,Bremen,Christlich-Soziale Union in Bayern e.V.,,,,
2025-02-23,Bremen,Ab jetzt... Demokratie durch Volksabstimmung,,,,
2025-02-23,Bremen,Allianz Deutscher Demokraten,,,,
2025-02-23,Bremen,"Allianz für Menschenrechte, Tier- und Naturschutz",,,,
2025-02-23,Bremen,Basisdemokratische Partei Deutschland,,,,
2025-02-23,Bremen,Bayernpartei,,,,
2025-02-23,Bremen,"bergpartei, die überpartei",,,,
2025-02-23,Bremen,Brandenb. Verein. Bürgerbewegungen/Freie Wähler,1758.0,0.5,1618.0,0.5
2025-02-23,Bremen,Bund für Gesamtdeutschland,,,,
2025-02-23,Bremen,Bündnis 21/RRP,,,,
2025-02-23,Bremen,Bündnis C - Christen für Deutschland,,,,
2025-02-23,Bremen,BÜNDNIS DEUTSCHLAND,1967.0,0.6,933.0,0.3
2025-02-23,Bremen,Bündnis für Innovation und Gerechtigkeit,,,,
2025-02-23,Bremen,Bündnis Grundeinkommen,,,,
2025-02-23,Bremen,Bündnis Sahra Wagenknecht,,,15114.0,4.3
2025-02-23,Bremen,Bürgerbewegung für Fortschritt und Wandel,,,,
2025-02-23,Bremen,Bürgerbewegung pro Deutschland,,,,
2025-02-23,Bremen,Bürgerrechtsbewegung Solidarität,,,,
2025-02-23,Bremen,Demokratie in Bewegung,,,,
2025-02-23,Bremen,DER DRITTE WEG,,,,
2025-02-23,Bremen,Deutsche Kommunistische Partei,,,,
2025-02-23,Bremen,DEUTSCHE KONSERVATIVE,,,,
2025-02-23,Bremen,Deutsche Mitte,,,,
2025-02-23,Bremen,Die Einheit,,,,
2025-02-23,Bremen,Die Gerechtigkeitspartei - Team Todenhöfer,,,,
2025-02-23,Bremen,Die Grauen - Für alle Generationen,,,,
2025-02-23,Bremen,Die Heimat,,,,
2025-02-23,Bremen,Die Partei,2227.0,0.6,2582.0,0.7
2025-02-23,Bremen,DIE RECHTE,,,,
2025-02-23,Bremen,DIE REPUBLIKANER,,,,
2025-02-23,Bremen,DIE SONSTIGEN,,,,
2025-02-23,Bremen,Die Urbane. Eine HipHop Partei,,,,
2025-02-23,Bremen,Die Violetten,,,,
2025-02-23,Bremen,diePinken/BÜNDNIS21,,,,
2025-02-23,Bremen,Europäische Partei LIEBE,,,,
2025-02-23,Bremen,Familien-Partei Deutschlands,,,,
2025-02-23,Bremen,Feministische Partei DIE FRAUEN,,,,
2025-02-23,Bremen,Freie Demokratische Partei,9664.0,2.8,12295.0,3.5
2025-02-23,Bremen,FREIE WÄHLER,,,,
2025-02-23,Bremen,Gartenpartei,,,,
2025-02-23,Bremen,Graue Panther,,,,
2025-02-23,Bremen,Klimaliste Baden-Württemberg,,,,
2025-02-23,Bremen,Liberale Demokraten - Die Sozialliberalen,,,,
2025-02-23,Bremen,Liberal-Konservative Reformer,,,,
2025-02-23,Bremen,Lobbyisten für Kinder,,,,
2025-02-23,Bremen,Marxistisch-Leninistische Partei Deutschlands,736.0,0.2,207.0,0.1
2025-02-23,Bremen,Menschliche Welt,,,694.0,0.2
2025-02-23,Bremen,MERA25 - Gemeinsam für Europäische Unabhängigkeit,,,260.0,0.1
2025-02-23,Bremen,Mieterpartei,,,,
2025-02-23,Bremen,Nein!-Idee,,,,
2025-02-23,Bremen,Neue Liberale - Die Sozialliberalen,,,,
2025-02-23,Bremen,Ökologisch-Demokratische Partei,,,,
2025-02-23,Bremen,Partei Bibeltreuer Christen,,,,
2025-02-23,Bremen,Partei der Humanisten,,,,
2025-02-23,Bremen,Partei der Nichtwähler,,,,
2025-02-23,Bremen,Partei der Vernunft,,,,
2025-02-23,Bremen,Partei des Fortschritts,,,,
2025-02-23,Bremen,Partei für Verjüngungsforschung,,,303.0,0.1
2025-02-23,Bremen,PARTEI MENSCH UMWELT TIERSCHUTZ,,,,
2025-02-23,Bremen,Piratenpartei Deutschland,,,,
2025-02-23,Bremen,RENTNER Partei Deutschland,,,,
2025-02-23,Bremen,"SGV - Solidarität, Gerechtigkeit, Veränderung",,,,
2025-02-23,Bremen,"Sozialist.Gleichheitspartei, Vierte Internationale",,,,
2025-02-23,Bremen,Südschleswigscher Wählerverband,,,,
2025-02-23,Bremen,Thüringer Heimatpartei,,,,
2025-02-23,Bremen,UNABHÄNGIGE für bürgernahe Demokratie,,,,
2025-02-23,Bremen,Volt Deutschland,5736.0,1.7,3836.0,1.1
2025-02-23,Bremen,"V-Partei3 - Partei f. Veränd., Vegetarier, Veganer",,,,
2025-02-23,Bremen,WerteUnion,,,,
2025-02-23,Bremen,WiR2020,,,,
2025-02-23,Bremen,Sonstige Parteien,719.0,0.2,,
2025-02-23,Hamburg,Christlich Demokratische Union Deutschlands,232067.0,22.3,216935.0,20.7
2025-02-23,Hamburg,Alternative für Deutschland,114714.0,11.0,113608.0,10.9
2025-02-23,Hamburg,Sozialdemokratische Partei Deutschlands,292325.0,28.0,237740.0,22.7
2025-02-23,Hamburg,BÜNDNIS 90/DIE GRÜNEN,214621.0,20.6,201713.0,19.3
2025-02-23,Hamburg,Die Linke,129995.0,12.5,151115.0,14.5
2025-02-23,Hamburg,Christlich-Soziale Union in Bayern e.V.,,,,
2025-02-23,Hamburg,Ab jetzt... Demokratie durch Volksabstimmung,,,,
2025-02-23,Hamburg,Allianz Deutscher Demokraten,,,,
2025-02-23,Hamburg,"Allianz für Menschenrechte, Tier- und Naturschutz",,,,
2025-02-23,Hamburg,Basisdemokratische Partei Deutschland,,,,
2025-02-23,Hamburg,Bayernpartei,,,,
